documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
121205-ergebnisse-der-geistesforschung-063,Ergebnisse der Geistesforschung 063,legacy/Webpage Uranos/Klartext,1,51,1912-12-05,,false,vortraege-klartext/121205-ergebnisse-der-geistesforschung-063.pdf,false,
140411b-homunkulus,Homunkulus,legacy/Webpage Uranos/Klartext,1,3,1914-04-11,b,false,vortraege-klartext/140411b-homunkulus.pdf,false,
150515-einweihungsvortrag,Einweihungsvortrag,legacy/Webpage Uranos/Klartext,1,16,1915-05-15,,false,vortraege-klartext/150515-einweihungsvortrag.pdf,false,
171125-individuelle-geistwesen,Individuelle Geistwesen,legacy/Webpage Uranos/Klartext,1,12,1917-11-25,,false,vortraege-klartext/171125-individuelle-geistwesen.pdf,false,
220423-220423,220423,legacy/Webpage Uranos/Klartext,1,9,1922-04-23,,false,vortraege-klartext/220423-220423.pdf,false,
231224c-grundungversammlung-der-a-a-g,Grundungversammlung der A.A.G.,legacy/Webpage Uranos/Klartext,1,26,1923-12-24,c,false,vortraege-klartext/231224c-grundungversammlung-der-a-a-g.pdf,false,
