documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
061019b-edelsteine-heilung-sinnesorgane,Edelsteine  Heilung  Sinnesorgane,legacy/Webpage Uranos/Unveröffentliches,1,3,1906-10-19,b,false,vortraege-unveroeffentlicht/061019b-edelsteine-heilung-sinnesorgane.pdf,false,
070422-apokalypse-kinkel-alice-1,Apokalypse Kinkel Alice 1,legacy/Webpage Uranos/Unveröffentliches,1,16,1907-04-22,,false,vortraege-unveroeffentlicht/070422-apokalypse-kinkel-alice-1.pdf,false,
070501-apokalypse-kinkel-alice-2,Apokalypse Kinkel Alice 2,legacy/Webpage Uranos/Unveröffentliches,1,13,1907-05-01,,false,vortraege-unveroeffentlicht/070501-apokalypse-kinkel-alice-2.pdf,false,
070508-apokalypse-kinkel-alice-3,Apokalypse Kinkel Alice 3,legacy/Webpage Uranos/Unveröffentliches,1,9,1907-05-08,,false,vortraege-unveroeffentlicht/070508-apokalypse-kinkel-alice-3.pdf,false,
070515-apokalypse-kinkel-alice-4,Apokalypse Kinkel Alice 4,legacy/Webpage Uranos/Unveröffentliches,1,28,1907-05-15,,false,vortraege-unveroeffentlicht/070515-apokalypse-kinkel-alice-4.pdf,false,
071219-die-gefahren-der-einweihung,Die Gefahren der Einweihung,legacy/Webpage Uranos/Unveröffentliches,1,16,1907-12-19,,false,vortraege-unveroeffentlicht/071219-die-gefahren-der-einweihung.pdf,false,
131015b-plicht-zur-wahrheit,Plicht zur Wahrheit,legacy/Webpage Uranos/Unveröffentliches,1,2,1913-10-15,b,false,vortraege-unveroeffentlicht/131015b-plicht-zur-wahrheit.pdf,false,
140307-140307,140307,legacy/Webpage Uranos/Unveröffentliches,1,4,1914-03-07,,false,vortraege-unveroeffentlicht/140307-140307.pdf,false,
140411b-homunkulus,Homunkulus,legacy/Webpage Uranos/Unveröffentliches,1,3,1914-04-11,b,false,vortraege-unveroeffentlicht/140411b-homunkulus.pdf,false,
140714b-das-grosse-und-das-kleine-gehirn,Das große und das kleine Gehirn,legacy/Webpage Uranos/Unveröffentliches,1,2,1914-07-14,b,true,vortraege-unveroeffentlicht/140714b-das-grosse-und-das-kleine-gehirn.pdf,false,
150506a-die-ubersinnliche-erkenntnis,die übersinnliche Erkenntnis,legacy/Webpage Uranos/Unveröffentliches,1,32,1915-05-06,a,false,vortraege-unveroeffentlicht/150506a-die-ubersinnliche-erkenntnis.pdf,false,
150515-einweihungsvortrag,Einweihungsvortrag,legacy/Webpage Uranos/Unveröffentliches,1,16,1915-05-15,,false,vortraege-unveroeffentlicht/150515-einweihungsvortrag.pdf,false,
180527-180527,180527,legacy/Webpage Uranos/Unveröffentliches,1,26,1918-05-27,,false,vortraege-unveroeffentlicht/180527-180527.pdf,false,
uber-die-wanderung-der-rassen,Über die Wanderung der Rassen,legacy/Webpage Uranos/Unveröffentliches,1,9,,,true,vortraege-unveroeffentlicht/uber-die-wanderung-der-rassen.pdf,false,
