documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
foto-dornach-soesman,Foto Dornach Soesman,legacy/Webpage Uranos,2,2,,,false,albert-soesman/foto-dornach-soesman.pdf,false,
postkarte-dornach-soesman,Postkarte Dornach Soesman,legacy/Webpage Uranos,3,3,,,false,albert-soesman/postkarte-dornach-soesman.pdf,false,
steiner-s-kosmogonie,Steiner's Kosmogonie,legacy/Webpage Uranos,1,1,,,false,albert-soesman/steiner-s-kosmogonie.pdf,false,
