documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
07-07-1929-jugend,07 07 1929 Jugend,legacy/Webpage Uranos/Mitteilungen,11,11,,,false,seltenes-waldorf-paedagogik/07-07-1929-jugend.pdf,false,
27-10-1929-jugend,27 10 1929 Jugend,legacy/Webpage Uranos/Mitteilungen,12,12,,,false,seltenes-waldorf-paedagogik/27-10-1929-jugend.pdf,false,
waldorfschule-dez-1933,Waldorfschule Dez 1933,legacy/Webpage Uranos/Mitteilungen,3,3,,,false,seltenes-waldorf-paedagogik/waldorfschule-dez-1933.pdf,false,
waldorfschule-dez-1936,Waldorfschule Dez 1936,legacy/Webpage Uranos/Mitteilungen,2,2,,,false,seltenes-waldorf-paedagogik/waldorfschule-dez-1936.pdf,false,
waldorfschule-jan-1937,Waldorfschule Jan 1937,legacy/Webpage Uranos/Mitteilungen,4,4,,,false,seltenes-waldorf-paedagogik/waldorfschule-jan-1937.pdf,false,
waldorfschule-juni-1932004,Waldorfschule Juni 1932004,legacy/Webpage Uranos/Mitteilungen,1,1,,,false,seltenes-waldorf-paedagogik/waldorfschule-juni-1932004.pdf,false,
waldorfschule-marz-1937008,Waldorfschule März 1937008,legacy/Webpage Uranos/Mitteilungen,1,1,,,false,seltenes-waldorf-paedagogik/waldorfschule-marz-1937008.pdf,false,
waldorfschule-winter-1934,Waldorfschule Winter 1934,legacy/Webpage Uranos/Mitteilungen,2,2,,,false,seltenes-waldorf-paedagogik/waldorfschule-winter-1934.pdf,false,
waldorfschule,Waldorfschule,legacy/Webpage Uranos/Mitteilungen,2,2,,,false,seltenes-waldorf-paedagogik/waldorfschule.pdf,false,
