documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
140628-michels,Michels,legacy/Webpage Uranos/Handgeschriebenes/140628 Michels,20,20,1914-06-28,,false,vortraege-handgeschrieben/140628-michels.pdf,false,
070422-apokalypse-kinkel-alice-1,Apokalypse Kinkel Alice 1,legacy/Webpage Uranos/Handgeschriebenes,1,16,1907-04-22,,false,vortraege-handgeschrieben/070422-apokalypse-kinkel-alice-1.pdf,false,
070501-apokalypse-kinkel-alice-2,Apokalypse Kinkel Alice 2,legacy/Webpage Uranos/Handgeschriebenes,1,13,1907-05-01,,false,vortraege-handgeschrieben/070501-apokalypse-kinkel-alice-2.pdf,false,
070508-apokalypse-kinkel-alice-3,Apokalypse Kinkel Alice 3,legacy/Webpage Uranos/Handgeschriebenes,1,9,1907-05-08,,false,vortraege-handgeschrieben/070508-apokalypse-kinkel-alice-3.pdf,false,
070515-apokalypse-kinkel-alice-4,Apokalypse Kinkel Alice 4,legacy/Webpage Uranos/Handgeschriebenes,1,28,1907-05-15,,false,vortraege-handgeschrieben/070515-apokalypse-kinkel-alice-4.pdf,false,
